"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"Cong_Disgust_Disgust_Right_Fem_Face.png","Cong_Disgust_Disgust_Right_Fem_Rearranged.png","Cong_Disgust_Disgust_Right_Fem_New.jpeg","Cong_Disgust_Disgust_Right_Fem_Intact.png","3","DOĞRU","f","1"
"getimg_ai_img-l7kAlycneBsrNgJRvfPAK_new.png","-","-","-","1","YANLIŞ","f","1"
"High_Disgust_Anger_Right_Fem_Face.png","High_Disgust_Anger_Right_Fem_Intact.png","High_Disgust_Anger_Right_Fem_New.png","High_Disgust_Anger_Right_Fem_Rearranged.png","1","DOĞRU","f","3"
"High_Disgust_Anger_Left_Male_Face.png","High_Disgust_Anger_Left_Male_Rearranged.png","High_Disgust_Anger_Left_Male_Intact.png","High_Disgust_Anger_Left_Male_New.jpeg","2","DOĞRU","f","2"
"Low_Anger_Sad_Right_Fem_Face.png","Low_Anger_Sad_Right_Fem_Intact.png","Low_Anger_Sad_Right_Fem_Rearranged.png","Low_Anger_Sad_Right_Fem_New.png","1","DOĞRU","f","1"
"High_Disgust_Sad_Right_Fem_Face.png","High_Disgust_Sad_Right_Fem_Intact.png","High_Disgust_Sad_Right_Fem_Rearranged.png","High_Disgust_Sad_Right_Fem_New.png","1","DOĞRU","f","1"
"High_Disgust_Anger_Right_Male_Face.png","High_Disgust_Anger_Right_Male_Rearranged.png","High_Disgust_Anger_Right_Male_New.png","High_Disgust_Anger_Right_Male_Intact.png","3","DOĞRU","f","2"
"getimg_ai_img-RHtc74HKjyMEfA6c9nscj_new.png","-","-","-","1","YANLIŞ","j","2"
"High_Anger_Disgust_Left_Male_Face.png","High_Anger_Disgust_Left_Male_New.png","High_Anger_Disgust_Left_Male_Rearranged.png","High_Anger_Disgust_Left_Male_Intact.png","3","DOĞRU","f","2"
"getimg_ai_img-oBbM3ZeSSqm9sXYhsCTaB_new.png","-","-","-","1","YANLIŞ","j","2"
"Low_Anger_Fear_Right_Fem_Face.png","Low_Anger_Fear_Right_Fem_Intact.jpeg","Low_Anger_Fear_Right_Fem_Rearranged.jpeg","Low_Anger_Fear_Right_Fem_New.jpeg","1","DOĞRU","f","1"
"getimg_ai_img-OuASQZDuoQG9aeuKHg2Iz_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-OpJNobqUrRz3MBm8DCq0I_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-TDbhmkdPEQf2xKI8quwte_new.png","-","-","-","1","YANLIŞ","j","1"
"Cong_Fear_Fear_Right_Fem_Face.png","Cong_Fear_Fear_Right_Fem_Intact.png","Cong_Fear_Fear_Right_Fem_Rearranged.jpeg","Cong_Fear_Fear_Right_Fem_New.jpeg","1","DOĞRU","f","1"
"getimg_ai_img-eeWHwpHkaGdctISBR08IQ_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-fCXmwnhDCX9LfCmKqnnJ3_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-r7hkNEBaZi7HTAfIUXRtc_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-7IqyR3gWeYJOf7OUZ2mdh (1)_new.png","-","-","-","1","YANLIŞ","j","1"
"Cong_Sad_Sad_Right_Fem_Face.png","Cong_Sad_Sad_Right_Fem_Rearranged.png","Cong_Sad_Sad_Right_Fem_New.jpeg","Cong_Sad_Sad_Right_Fem_Intact.png","3","DOĞRU","j","1"
"getimg_ai_img-OWWFKgSVgdJuFOjGKtgQl_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-jlX2908vEI5o97jkcNHau_new.png","-","-","-","1","YANLIŞ","j","1"
"High_Sad_Disgust_Right_Fem_Face.png","High_Sad_Disgust_Right_Fem_Intact.png","High_Sad_Disgust_Right_Fem_New.jpeg","High_Sad_Disgust_Right_Fem_Rearranged.png","1","DOĞRU","f","3"
